"","A","B","C","D","E","F","recoded_forms"
"1",7.616666667,8.453,8.46,8.673428571,8.542857143,8.509230769,"Double weapon routines"
"2",7.234285714,8.322105263,8.371071429,8.631320755,8.586153846,8.533333333,"Fifth type bare hand routines Shaolinquan"
"3",7.35,8.361428571,8.466,8.702307692,8.50375,8.533333333,"First type bare hand routines Bajiquan"
"4",7.348,8.388666667,8.459,8.781666667,8.498333333,8.533333333,"Fourth type bare hand routine Chaquan"
"5",7.478333333,8.405333333,8.57,8.698888889,8.666666667,8.506,"Nanquan type routines Cailifoquan (Choy Lay Fut)"
"6",7.555,8.405333333,8.52,8.601388889,8.585555556,8.532857143,"Nanquan type routines Other routines"
"7",7.41875,8.387142857,8.455,8.611538462,8.50375,8.4575,"Other bare hand routines"
"8",7.48,8.435,8.455,8.611538462,8.50375,8.4575,"Single weapon routines Taiji weapon"
"9",7.395294118,8.415909091,8.4224,8.684594595,8.45,8.426666667,"Single weapon routines Dao (Broadsword)"
"10",7.2835,8.405333333,8.406,8.563076923,8.491666667,8.4575,"Single weapon routines Gun (Cudgel/Staff)"
"11",7.59,8.403571429,8.421428571,8.673428571,8.540588235,8.509230769,"Single weapon routines Jian (Straight Sword)"
"12",7.615,8.403571429,8.491666667,8.659166667,8.513,8.509230769,"Single weapon routines Other routines"
"13",7.45,8.388666667,8.381428571,8.758571429,8.45,8.426666667,"Single weapon routines Pudao"
"14",7.37,8.442222222,8.455,8.702307692,8.498333333,8.4575,"Single weapon routines Taiji weapon"
"15",7.55,8.387142857,8.455,8.611538462,8.576896552,8.506,"Single/Soft weapon routines Others"
"16",7.411666667,8.359333333,8.488333333,8.690714286,8.430526316,8.486923077,"Taijiquan type routines Other routines"
"17",7.386428571,8.398461538,8.473571429,8.634166667,8.546666667,8.533333333,"Third type bare hand routines"
"18",7.333333333,8.316,8.392173913,8.815263158,8.655185185,8.3825,"Other bare hand routines"
"19",7.47875,8.387142857,8.455,8.611538462,8.498333333,8.4575,"Other weapon routines"
"20",7.395294118,8.4424,8.46,8.684594595,8.50375,8.4575,"Nanquan type routines"
"21",7.47875,8.435,8.455,8.611538462,8.50375,8.4575,"Second type bare hand routine"
"22",7.47875,8.387142857,8.455,8.611538462,8.498333333,8.509230769,"Single weapon routines Other routines"
"23",7.395294118,8.439090909,8.516666667,8.621428571,8.638571429,8.451,"Single weapon routines 42 posture Taijijian"
"24",7.47875,8.378571429,8.455,8.6025,8.498333333,8.4575,"Single weapon routines Gun (Cudgel/Staff)"
"25",7.41875,8.345,8.455,8.635384615,8.50375,8.486923077,"Single weapon routines Pudao"
"26",7.395294118,8.503333333,8.455,8.627272727,8.632857143,8.533333333,"Single weapon routines Qiang (Spear)"
"27",7.333333333,8.386363636,8.488333333,8.588,8.5475,8.533333333,"Taijiquan type routines 42 posture Taijiquan"
"28",7.41875,8.28,8.455,8.626666667,8.546666667,8.4575,"Other bare hand routines"
"29",7.47875,8.4725,8.455,8.611538462,8.50375,8.4575,"Other weapon routines"
"30",7.45,8.398461538,8.404375,8.517058824,8.45,8.426666667,"Double weapon routines Other routines"
"31",7.45,8.398461538,8.452,8.635384615,8.498333333,8.4575,"Double weapon routines Shuangdao (Double Broadsword)"
"32",7.45,8.398461538,8.491666667,8.645,8.6025,8.506,"Double weapon routines Shuangjian (Double Straight Sword)"
"33",7.48,8.435,8.534285714,8.674285714,8.7425,8.506,"First type bare hand routines"
"34",7.45,8.398461538,8.476666667,8.684285714,8.498333333,8.4575,"Flexible/Soft weapon routines"
"35",7.47875,8.387142857,8.455,8.611538462,8.498333333,8.4575,"Flexible/Soft weapon routines Jiujiebian"
"36",7.478333333,8.403571429,8.525,8.674285714,8.725714286,8.506,"Nanquan type routines Hongjiaquan (Hung Gar)"
"37",7.45,8.398461538,8.416666667,8.61,8.45,8.426666667,"Nanquan type routines Yongchunquan (Wing Chun)"
"38",7.47875,8.435,8.435,8.611538462,8.498333333,8.4575,"Single weapon routines Taiji weapon"
"39",7.47875,8.387142857,8.620588235,8.832,8.725714286,8.506,"Single weapon routines Pudao"
"40",7.45,8.398461538,8.536666667,8.922,8.725714286,8.506,"Single weapon routines Nandao (Southern Broadsword)"
"41",7.478333333,8.405333333,8.392857143,8.725,8.442857143,8.426666667,"Single weapon routines Other Taijijian"
"42",7.555,8.403571429,8.491666667,8.674285714,8.565,8.506,"Single weapon routines Taijishan"
"43",7.47875,8.387142857,8.47,8.841666667,8.546666667,8.506,"Taijiquan type routines"
"44",7.47875,8.387142857,8.4275,8.6025,8.483,8.426666667,"Taijiquan type routines Other Taijiquan"
"45",7.47875,8.387142857,8.296666667,8.626666667,8.45,8.426666667,"Third type bare hand routines Other routines"
"46",7.45,8.398461538,8.466,8.75375,8.546666667,8.506,"Third type bare hand routines Yingzhaoquan (Eagle Style)"
"47",7.47875,8.387142857,8.452,8.626666667,8.498333333,8.4575,"Double weapon routines Shuangbishou (Double Daggers)"
"48",7.47875,8.387142857,8.476666667,8.841666667,8.546666667,8.506,"First type bare hand routines Other routines"
"49",7.47875,8.387142857,8.452,8.611538462,8.498333333,8.4575,"First type bare hand routines Baguazhang"
"50",7.47875,8.387142857,8.466,8.722222222,8.546666667,8.506,"Flexible/Soft weapon routines Jiujiebian (Nine Section Whip Chain)"
"51",7.555,8.403571429,8.52,8.624444444,8.6025,8.509230769,"Flexible/Soft weapon routines Other routines"
"52",7.47875,8.387142857,8.476666667,8.832,8.546666667,8.506,"Fourth type bare hand routine Huaquan"
"53",7.47875,8.387142857,8.476666667,8.955714286,8.546666667,8.506,"Nanquan type routines Huquan"
"54",7.47875,8.387142857,8.476666667,8.87,8.546666667,8.506,"Second type bare hand routine Fanziqua"
"55",7.555,8.403571429,8.52,8.713846154,8.565555556,8.532857143,"Single weapon routines Chen Style Taijijian"
"56",7.555,8.403571429,8.491666667,8.406666667,8.510909091,8.532857143,"Single weapon routines Other Taiji weapon"
"57",7.555,8.403571429,8.4224,8.738571429,8.543,8.509230769,"Single weapon routines Chen Style Taijijian"
"58",7.47875,8.387142857,8.476666667,8.780625,8.546666667,8.506,"Single weapon routines Nangun (Southern Staff/Cudgel)"
"59",7.47875,8.387142857,8.452,8.517,8.498333333,8.532857143,"Single weapon routines Other Taiji weapon"
"60",7.47875,8.378571429,8.452,8.6025,8.498333333,8.4575,"Single weapon routines Pudao"
"61",7.47875,8.387142857,8.452,8.538181818,8.498333333,8.4575,"Single weapon routines Shanzi (Fan)"
"62",7.555,8.403571429,8.52,8.648571429,8.576896552,8.532857143,"Taijiquan type routines Chen Style"
"63",7.478333333,8.386363636,8.488333333,8.633333333,8.456428571,8.410606061,"Taijiquan type routines Yang Style"
"64",7.47875,8.387142857,8.476666667,8.9,8.546666667,8.506,"Third type bare hand routines Drunken Fist"
"65",7.47875,8.387142857,8.466,9.045,8.546666667,8.506,"Third type bare hand routines Other routines"
"66",7.48,8.387142857,8.52,8.825,8.751666667,8.506,"Third type bare hand routines Tanglangquan (Mantis Style)"
"67",7.48,8.435,8.46,8.713846154,8.498333333,8.4575,"Single weapon routines Pudao"
"68",7.48,8.435,8.435,8.684594595,8.444,8.416071429,"Single weapon routines Taijidao"
"69",7.48,8.435,8.491666667,8.633333333,8.483,8.416071429,"Single weapon routines Yang Style Taijijian"
"70",7.48,8.435,8.46,8.673428571,8.546666667,8.506,"Single weapon routines Shanzi (Fan)"
"71",7.47875,8.387142857,8.455,8.611538462,8.483,8.4575,"24 type Taijiquan"
"72",7.47875,8.387142857,8.455,8.611538462,8.483,8.3625,"Single weapon routines 32 Style Taijijian"
"73",7.47875,8.387142857,8.455,8.611538462,8.510909091,8.63,"Single weapon routines Other Taiji weapon"
"74",7.47875,8.387142857,8.455,8.611538462,8.513,8.58,"Other bare hand routines"
